CMDLINE python ./Easy_744/Easy_744_Human.py
MEM 1.980469 1745189469.2115
MEM 2.453125 1745189469.2244
MEM 3.687500 1745189469.2260
MEM 6.097656 1745189469.2277
MEM 7.644531 1745189469.2294
MEM 8.578125 1745189469.2310
MEM 8.957031 1745189469.2326
MEM 9.156250 1745189469.2342
MEM 9.550781 1745189469.2360
MEM 10.085938 1745189469.2378
MEM 10.445312 1745189469.2396
MEM 10.695312 1745189469.2412
MEM 10.847656 1745189469.2429
MEM 11.125000 1745189469.2446
MEM 11.437500 1745189469.2463
MEM 11.742188 1745189469.2480
MEM 12.085938 1745189469.2497
MEM 11.800781 1745189469.2515
