CMDLINE python ./Easy_349/Easy_349_Gemini.py
MEM 1.980469 1745189462.2157
MEM 2.578125 1745189462.2173
MEM 3.691406 1745189462.2190
MEM 5.925781 1745189462.2207
MEM 7.589844 1745189462.2225
MEM 8.531250 1745189462.2241
MEM 8.855469 1745189462.2257
MEM 9.054688 1745189462.2273
MEM 9.371094 1745189462.2289
MEM 9.695312 1745189462.2305
MEM 10.148438 1745189462.2321
MEM 10.437500 1745189462.2338
MEM 10.738281 1745189462.2354
MEM 10.851562 1745189462.2370
MEM 11.089844 1745189462.2387
MEM 11.406250 1745189462.2404
MEM 11.742188 1745189462.2421
MEM 12.093750 1745189462.2437
MEM 12.007812 1745189462.2454
MEM 11.066406 1745189462.2469
