CMDLINE python ./Easy_349/Easy_349_ChatGPT.py
MEM 2.019531 1745189461.3964
MEM 2.691406 1745189461.3992
MEM 3.707031 1745189461.4008
MEM 5.917969 1745189461.4024
MEM 7.601562 1745189461.4040
MEM 8.578125 1745189461.4057
MEM 8.941406 1745189461.4072
MEM 9.082031 1745189461.4088
MEM 9.515625 1745189461.4103
MEM 9.820312 1745189461.4119
MEM 10.171875 1745189461.4136
MEM 10.472656 1745189461.4152
MEM 10.691406 1745189461.4167
MEM 10.792969 1745189461.4183
MEM 10.980469 1745189461.4199
MEM 11.285156 1745189461.4216
MEM 11.453125 1745189461.4232
MEM 11.746094 1745189461.4248
MEM 12.089844 1745189461.4264
MEM 11.515625 1745189461.4280
