CMDLINE python ./Easy_349/Easy_349_Human.py
MEM 1.976562 1745189462.6082
MEM 2.589844 1745189462.6098
MEM 3.984375 1745189462.6114
MEM 6.230469 1745189462.6130
MEM 7.746094 1745189462.6146
MEM 8.667969 1745189462.6163
MEM 8.937500 1745189462.6179
MEM 9.058594 1745189462.6196
MEM 9.402344 1745189462.6214
MEM 9.707031 1745189462.6230
MEM 10.089844 1745189462.6246
MEM 10.582031 1745189462.6262
MEM 10.707031 1745189462.6278
MEM 10.867188 1745189462.6294
MEM 11.082031 1745189462.6311
MEM 11.363281 1745189462.6327
MEM 11.617188 1745189462.6344
MEM 11.945312 1745189462.6358
MEM 11.949219 1745189462.6375
MEM 11.058594 1745189462.6392
