CMDLINE python ./Easy_350/Easy_350_ChatGPT.py
MEM 1.980469 1745189463.0155
MEM 2.585938 1745189463.0302
MEM 3.992188 1745189463.0318
MEM 6.140625 1745189463.0336
MEM 7.808594 1745189463.0353
MEM 8.734375 1745189463.0372
MEM 9.046875 1745189463.0389
MEM 9.445312 1745189463.0407
MEM 9.746094 1745189463.0424
MEM 10.363281 1745189463.0440
MEM 10.777344 1745189463.0457
MEM 10.910156 1745189463.0474
MEM 11.003906 1745189463.0490
MEM 11.273438 1745189463.0507
MEM 11.574219 1745189463.0524
MEM 11.832031 1745189463.0541
MEM 12.101562 1745189463.0558
MEM 12.218750 1745189463.0575
MEM 11.472656 1745189463.0593
