CMDLINE python ./Easy_350/Easy_350_Human.py
MEM 1.980469 1745189464.2892
MEM 2.617188 1745189464.2945
MEM 4.117188 1745189464.2961
MEM 6.371094 1745189464.2978
MEM 7.250000 1745189464.2988
MEM 8.343750 1745189464.3005
MEM 8.859375 1745189464.3021
MEM 9.054688 1745189464.3038
MEM 9.445312 1745189464.3053
MEM 9.726562 1745189464.3069
MEM 10.257812 1745189464.3085
MEM 10.542969 1745189464.3102
MEM 10.781250 1745189464.3118
MEM 10.933594 1745189464.3134
MEM 11.207031 1745189464.3149
MEM 11.410156 1745189464.3162
MEM 11.550781 1745189464.3178
MEM 11.734375 1745189464.3192
MEM 12.011719 1745189464.3208
MEM 12.039062 1745189464.3224
MEM 11.953125 1745189464.3238
MEM 11.128906 1745189464.3255
