CMDLINE python ./Easy_350/Easy_350_Gemini.py
MEM 1.929688 1745189463.8690
MEM 2.367188 1745189463.8744
MEM 3.292969 1745189463.8760
MEM 5.195312 1745189463.8777
MEM 7.187500 1745189463.8793
MEM 8.410156 1745189463.8810
MEM 8.761719 1745189463.8826
MEM 9.039062 1745189463.8842
MEM 9.339844 1745189463.8859
MEM 9.699219 1745189463.8876
MEM 10.222656 1745189463.8892
MEM 10.445312 1745189463.8909
MEM 10.769531 1745189463.8926
MEM 10.859375 1745189463.8943
MEM 11.066406 1745189463.8958
MEM 11.277344 1745189463.8974
MEM 11.570312 1745189463.8992
MEM 11.683594 1745189463.9009
MEM 11.875000 1745189463.9026
MEM 12.175781 1745189463.9043
MEM 12.105469 1745189463.9060
