CMDLINE python ./Easy_1385/Easy_1385_Gemini.py
MEM 1.996094 1745189458.8387
MEM 2.824219 1745189458.8422
MEM 4.269531 1745189458.8438
MEM 6.496094 1745189458.8454
MEM 8.097656 1745189458.8470
MEM 8.742188 1745189458.8486
MEM 9.046875 1745189458.8502
MEM 9.082031 1745189458.8514
MEM 9.492188 1745189458.8530
MEM 9.742188 1745189458.8546
MEM 10.328125 1745189458.8562
MEM 10.460938 1745189458.8578
MEM 10.773438 1745189458.8594
MEM 10.875000 1745189458.8611
MEM 11.011719 1745189458.8622
MEM 11.218750 1745189458.8634
MEM 11.500000 1745189458.8650
MEM 11.769531 1745189458.8665
MEM 11.964844 1745189458.8682
MEM 12.042969 1745189458.8698
MEM 11.492188 1745189458.8713
