CMDLINE python ./Easy_1385/Easy_1385_Human.py
MEM 2.027344 1745189459.2594
MEM 3.144531 1745189459.2611
MEM 4.832031 1745189459.2627
MEM 6.902344 1745189459.2644
MEM 8.300781 1745189459.2660
MEM 8.781250 1745189459.2676
MEM 9.062500 1745189459.2691
MEM 9.515625 1745189459.2707
MEM 9.734375 1745189459.2724
MEM 10.214844 1745189459.2736
MEM 10.648438 1745189459.2752
MEM 10.820312 1745189459.2768
MEM 10.960938 1745189459.2784
MEM 11.269531 1745189459.2800
MEM 11.621094 1745189459.2816
MEM 11.769531 1745189459.2832
MEM 12.046875 1745189459.2848
MEM 12.222656 1745189459.2864
MEM 12.085938 1745189459.2876
MEM 11.023438 1745189459.2892
