CMDLINE python ./Easy_1385/Easy_1385_ChatGPT.py
MEM 1.980469 1745189458.0401
MEM 2.851562 1745189458.0455
MEM 4.410156 1745189458.0472
MEM 6.492188 1745189458.0488
MEM 8.046875 1745189458.0504
MEM 8.726562 1745189458.0519
MEM 8.972656 1745189458.0536
MEM 9.164062 1745189458.0552
MEM 9.523438 1745189458.0569
MEM 9.851562 1745189458.0585
MEM 10.312500 1745189458.0602
MEM 10.691406 1745189458.0617
MEM 10.847656 1745189458.0634
MEM 10.953125 1745189458.0649
MEM 11.171875 1745189458.0666
MEM 11.523438 1745189458.0681
MEM 11.554688 1745189458.0694
MEM 11.683594 1745189458.0710
MEM 12.039062 1745189458.0726
MEM 12.074219 1745189458.0741
MEM 11.453125 1745189458.0757
