CMDLINE python ./Easy_1351/Easy_1351_Human.py
MEM 1.980469 1745189457.6148
MEM 2.695312 1745189457.6165
MEM 3.843750 1745189457.6183
MEM 6.273438 1745189457.6199
MEM 7.910156 1745189457.6216
MEM 8.730469 1745189457.6233
MEM 8.980469 1745189457.6250
MEM 9.179688 1745189457.6265
MEM 9.539062 1745189457.6281
MEM 9.816406 1745189457.6297
MEM 10.644531 1745189457.6313
MEM 10.785156 1745189457.6329
MEM 10.988281 1745189457.6343
MEM 11.050781 1745189457.6358
MEM 11.117188 1745189457.6374
MEM 11.300781 1745189457.6390
MEM 11.445312 1745189457.6405
MEM 11.757812 1745189457.6422
MEM 11.792969 1745189457.6437
MEM 12.007812 1745189457.6453
MEM 12.312500 1745189457.6469
MEM 12.292969 1745189457.6485
MEM 11.792969 1745189457.6502
