CMDLINE python ./Easy_1351/Easy_1351_Gemini.py
MEM 2.031250 1745189457.2070
MEM 2.972656 1745189457.2241
MEM 4.542969 1745189457.2258
MEM 6.539062 1745189457.2275
MEM 8.175781 1745189457.2291
MEM 8.769531 1745189457.2307
MEM 9.050781 1745189457.2323
MEM 9.464844 1745189457.2339
MEM 9.722656 1745189457.2355
MEM 10.628906 1745189457.2371
MEM 10.773438 1745189457.2387
MEM 11.035156 1745189457.2403
MEM 11.167969 1745189457.2419
MEM 11.414062 1745189457.2436
MEM 11.718750 1745189457.2452
MEM 11.937500 1745189457.2468
MEM 12.214844 1745189457.2484
MEM 12.195312 1745189457.2500
MEM 11.531250 1745189457.2516
