CMDLINE python ./Easy_1351/Easy_1351_ChatGPT.py
MEM 1.941406 1745189456.4472
MEM 2.457031 1745189456.4491
MEM 3.593750 1745189456.4507
MEM 5.972656 1745189456.4523
MEM 7.667969 1745189456.4540
MEM 8.648438 1745189456.4556
MEM 8.980469 1745189456.4572
MEM 9.062500 1745189456.4588
MEM 9.429688 1745189456.4602
MEM 9.714844 1745189456.4619
MEM 9.847656 1745189456.4636
MEM 10.656250 1745189456.4653
MEM 10.785156 1745189456.4668
MEM 11.058594 1745189456.4684
MEM 11.152344 1745189456.4700
MEM 11.406250 1745189456.4716
MEM 11.753906 1745189456.4728
MEM 11.781250 1745189456.4742
MEM 12.050781 1745189456.4758
MEM 12.371094 1745189456.4774
MEM 12.292969 1745189456.4790
MEM 11.679688 1745189456.4806
