CMDLINE python ./Easy_1346/Easy_1346_Gemini.py
MEM 1.980469 1745189455.6370
MEM 2.808594 1745189455.6492
MEM 4.351562 1745189455.6509
MEM 6.531250 1745189455.6525
MEM 8.070312 1745189455.6542
MEM 8.726562 1745189455.6558
MEM 9.058594 1745189455.6574
MEM 9.351562 1745189455.6589
MEM 9.722656 1745189455.6605
MEM 10.140625 1745189455.6621
MEM 10.367188 1745189455.6637
MEM 10.691406 1745189455.6652
MEM 10.855469 1745189455.6668
MEM 11.128906 1745189455.6684
MEM 11.472656 1745189455.6700
MEM 11.695312 1745189455.6716
MEM 11.996094 1745189455.6731
MEM 12.179688 1745189455.6747
MEM 11.289062 1745189455.6763
