CMDLINE python ./Easy_1539/Easy_1539_Gemini.py
MEM 1.941406 1745189460.5024
MEM 2.531250 1745189460.5042
MEM 3.363281 1745189460.5056
MEM 4.765625 1745189460.5070
MEM 6.773438 1745189460.5087
MEM 8.312500 1745189460.5103
MEM 8.781250 1745189460.5119
MEM 9.062500 1745189460.5135
MEM 9.281250 1745189460.5151
MEM 9.550781 1745189460.5168
MEM 9.843750 1745189460.5184
MEM 10.402344 1745189460.5200
MEM 10.664062 1745189460.5215
MEM 10.796875 1745189460.5232
MEM 10.980469 1745189460.5250
MEM 11.265625 1745189460.5266
MEM 11.488281 1745189460.5282
MEM 11.726562 1745189460.5299
MEM 12.085938 1745189460.5314
MEM 11.937500 1745189460.5331
