CMDLINE python ./Easy_1539/Easy_1539_Human.py
MEM 1.980469 1745189460.9098
MEM 2.632812 1745189460.9117
MEM 4.054688 1745189460.9134
MEM 6.492188 1745189460.9151
MEM 8.128906 1745189460.9168
MEM 8.765625 1745189460.9185
MEM 8.960938 1745189460.9201
MEM 9.257812 1745189460.9218
MEM 9.507812 1745189460.9232
MEM 9.738281 1745189460.9249
MEM 10.144531 1745189460.9265
MEM 10.425781 1745189460.9281
MEM 10.621094 1745189460.9293
MEM 10.761719 1745189460.9309
MEM 10.964844 1745189460.9325
MEM 11.320312 1745189460.9342
MEM 11.425781 1745189460.9358
MEM 11.660156 1745189460.9372
MEM 12.019531 1745189460.9388
MEM 11.933594 1745189460.9403
