CMDLINE python ./Easy_888/Easy_888_Human.py
MEM 2.035156 1745189470.9857
MEM 2.699219 1745189470.9873
MEM 3.468750 1745189470.9890
MEM 5.167969 1745189470.9907
MEM 6.984375 1745189470.9923
MEM 8.210938 1745189470.9940
MEM 8.769531 1745189470.9956
MEM 8.996094 1745189470.9972
MEM 9.226562 1745189470.9988
MEM 9.535156 1745189471.0003
MEM 9.847656 1745189471.0019
MEM 10.324219 1745189471.0034
MEM 10.460938 1745189471.0046
MEM 10.738281 1745189471.0061
MEM 10.812500 1745189471.0072
MEM 10.890625 1745189471.0084
MEM 10.992188 1745189471.0098
MEM 11.250000 1745189471.0114
MEM 11.562500 1745189471.0130
MEM 11.679688 1745189471.0143
MEM 11.894531 1745189471.0161
MEM 12.257812 1745189471.0177
MEM 11.535156 1745189471.0194
