CMDLINE python ./Easy_888/Easy_888_ChatGPT.py
MEM 1.980469 1745189469.7331
MEM 2.457031 1745189469.7457
MEM 3.640625 1745189469.7473
MEM 5.988281 1745189469.7490
MEM 7.585938 1745189469.7506
MEM 8.582031 1745189469.7521
MEM 8.933594 1745189469.7537
MEM 9.160156 1745189469.7553
MEM 9.515625 1745189469.7569
MEM 9.843750 1745189469.7585
MEM 10.585938 1745189469.7601
MEM 10.722656 1745189469.7618
MEM 10.847656 1745189469.7635
MEM 11.011719 1745189469.7651
MEM 11.253906 1745189469.7668
MEM 11.492188 1745189469.7684
MEM 11.816406 1745189469.7699
MEM 12.140625 1745189469.7715
MEM 12.082031 1745189469.7732
