CMDLINE python ./Easy_888/Easy_888_Gemini.py
MEM 1.980469 1745189470.5585
MEM 2.636719 1745189470.5616
MEM 3.960938 1745189470.5632
MEM 5.953125 1745189470.5649
MEM 7.656250 1745189470.5665
MEM 8.597656 1745189470.5681
MEM 8.945312 1745189470.5697
MEM 9.183594 1745189470.5713
MEM 9.527344 1745189470.5730
MEM 9.878906 1745189470.5745
MEM 10.593750 1745189470.5761
MEM 10.816406 1745189470.5777
MEM 10.902344 1745189470.5795
MEM 11.066406 1745189470.5810
MEM 11.480469 1745189470.5826
MEM 11.617188 1745189470.5842
MEM 11.917969 1745189470.5858
MEM 11.980469 1745189470.5874
MEM 11.285156 1745189470.5890
